SMILES	MolWt	LogP	HBD	HBA	RotatableBonds	TPSA	Volume	LipinskiViolations	NumAtoms
Cc1cc(-c2cc(O)ccc2Cl)cc2nnc(Nc3ccc(CCCN4CCCC4)cc3)nc12	474.01	6.13	2	6	7	74.17	285.06	1	34
CCN1CCN(c2ccc(Nc3ncnc(-c4cccnc4Nc4c(Cl)c(OC)cc(OC)c4Cl)n3)cc2)CC1	581.51	5.89	2	10	9	100.56	349.51	2	40
O=C(Nc1ccc(OC(F)(F)F)cc1)c1cnc(N2CCC[C@@H](O)C2)c(-c2cccnc2)c1	458.44	4.26	2	6	5	87.58	276.0	0	33
CCN(CC)[C@@](C)(C#Cc1ncnc2cc(OC)c(OC)cc12)Cc1ccncc1	404.51	3.74	0	6	7	60.37	243.51	0	30
N=C1NC(=O)/C(=C2/CCNC(=O)c3[nH]cc(Br)c32)N1	324.14	0.28	5	3	0	109.87	194.58	0	19
COc1ccc(Cl)c(Nc2ncnc3cc(OCCCN4CCN(C)CC4)cc(OC(C)C)c23)n1	501.03	4.23	1	9	10	84.87	301.34	1	35
O=C1N[C@H](C(=O)Nc2cc3c(Nc4ccc(F)c(Cl)c4)ncnc3cc2OCCN2CCCCC2)CO1	528.97	4.08	3	8	8	117.71	318.17	1	37
Cn1cc(-c2ccc3c(c2)ncn3-c2cc(NS(=O)(=O)C3CC3)cc(-c3ccc(F)cc3F)c2)cn1	505.55	5.28	1	6	6	81.81	304.3	2	36
COc1ccccc1-c1ccc2nc(NC(=O)NCCN3CCOCC3)sc2c1	412.52	3.43	2	6	6	75.72	248.29	0	29
C=CC(=O)Nc1ccc2ncnc(Nc3cccc(C(F)(F)F)c3)c2c1	358.32	4.52	2	4	4	66.91	215.73	0	26
Cc1cccc(C)c1-c1cc(C)c2nc(Nc3ccc(C(=O)N4CCN(C)CC4)cc3)n[n+]([O-])c2c1	482.59	3.99	1	6	4	88.3	290.51	0	36
CN1CCN(Cc2ccc(-c3cc4ncc(C#N)c(Nc5ccc(Cl)cc5Cl)c4s3)cc2)CC1	508.48	6.63	1	6	5	55.19	305.49	2	34
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2[C@H]1CCOC1	331.76	2.4	2	7	2	99.08	199.45	0	23
Cc1ccc(C(c2c[nH]c3ccccc23)N(C)c2ccccc2)cc1	326.44	5.7	1	1	4	19.03	196.49	1	25
Cc1nc2cc(-n3ncc(C(=O)c4cc5ccc(C6CCN(C)CC6)cc5[nH]4)c3N)ccc2[nH]1	453.55	4.16	3	6	4	108.62	273.03	0	34
Nc1ncnc2c1c(-c1ccc(Cl)c(O)c1)nn2CC1CCCNC1	358.83	2.43	3	7	3	101.88	215.74	0	25
COc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCOCCn1ccnc1[N+](=O)[O-]	609.01	5.95	1	11	14	135.69	366.36	3	43
CCCCOc1cc(Nc2ccc(S(N)(=O)=O)cc2)nc(N)c1C(=O)c1c(F)cccc1F	476.51	3.74	3	7	9	137.4	286.83	0	33
C=CC(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCNC(=S)NCC	567.87	4.92	4	6	9	100.2	340.98	1	34
C=CC(=O)Nc1cccc(Oc2nc(Nc3cccc(C#N)c3)nc3ccsc23)c1	413.46	5.22	2	7	6	99.93	248.85	1	30
O=C(N[C@H]1CCCCN(CCCc2ccccc2)C1=O)c1ccc(OP(=O)(O)O)cc1	446.44	2.9	3	4	8	116.17	268.77	0	31
Clc1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1.O=C(O)CCC(=O)O	464.91	4.95	3	6	7	125.3	279.59	0	33
COc1ccc(Nc2nc3cnc(Nc4ccc(N5CCN(C)CC5)cc4)nc3n2C(C)C)cc1	472.6	4.65	2	9	7	83.37	284.5	0	35
COc1cc(/C=C2\CCC/C(=C\c3ccc(O)c(O)c3)C2=O)cc(OC)c1	366.41	4.34	2	5	4	75.99	220.57	0	27
Cc1cc(-c2cnc3cc(-c4ccc(N5CCNCC5)cc4)ccn23)c2cc(F)ccc2n1	437.52	5.07	1	5	3	45.46	263.37	1	33
CONC(=O)c1cc(Nc2ncnn3cc(NC(=O)OCC4CCCO4)c(C(C)C)c23)c(F)cc1F	504.49	3.89	3	9	8	128.11	303.73	1	36
CC(C)n1nc(-c2cnc3nccnc3c2)c2c(N)ncnc21	306.33	1.99	1	8	2	108.29	184.42	0	23
C=CC(=O)Nc1ccc(OC)c(Nc2cc(-c3[nH]c(SC)nc3C3CCC3)ccn2)c1	435.55	5.34	3	6	8	91.93	262.15	1	31
