MolWt,LogP,HBD,HBA,RotatableBonds,TPSA,Volume,LipinskiViolations,NumAtoms,pIC50
416.84,3.56,1,6,8,86.23,250.67,0,29,9.010016542
521.62,3.9,1,10,11,101.34,314.01,1,38,8.292429824
608.67,6.12,1,6,5,65.77,366.42,2,45,6.0
576.62,5.28,4,9,6,159.94,347.12,2,43,8.096910013
489.52,3.73,3,9,8,147.92,294.65,0,35,6.490797478
295.35,2.59,1,6,2,78.85,177.8,0,22,5.283996656
466.38,4.81,1,6,6,55.21,280.19,0,30,7.110026362
503.43,5.73,1,7,8,68.74,302.5,2,34,7.301029996
296.4,3.45,2,2,4,41.46,178.37,0,21,5.494850022
588.57,5.59,4,9,8,135.73,354.33,2,43,6.572513891
484.56,5.4,1,6,6,76.16,291.69,1,36,4.522878745
508.6,3.25,1,8,6,98.74,306.18,1,37,5.0
410.34,5.0,1,2,2,41.62,246.4,0,25,6.455931956
278.36,3.8,1,4,2,56.73,167.56,0,21,6.301029996
491.86,5.57,3,6,5,101.3,295.84,1,34,5.0
734.81,6.91,2,11,13,118.38,442.36,3,54,6.0
321.34,2.76,1,7,2,99.83,193.45,0,24,5.657577319
338.38,0.61,4,7,4,124.85,203.71,0,25,5.657577319
255.23,2.42,2,3,2,88.03,153.65,0,19,4.0
516.37,4.69,3,6,9,105.24,310.3,1,33,7.161150909
413.49,5.02,3,7,7,96.76,248.91,1,31,8.698970004
554.43,6.21,1,7,8,91.68,333.2,2,38,5.709520187
527.04,5.04,0,8,9,68.54,317.0,2,37,9.010016542
511.95,2.9,4,7,7,124.27,307.92,1,36,4.0
428.45,3.36,2,8,6,111.03,257.93,0,32,4.455683858
532.61,4.09,1,10,5,92.82,320.62,1,40,5.721246399
639.72,8.31,4,9,9,143.9,385.1,2,48,8.397940009
463.72,4.91,1,6,6,90.79,278.33,0,28,6.53165267
491.0,5.11,0,8,8,70.23,295.29,1,35,7.439973751
526.65,6.41,4,8,7,122.03,316.94,2,37,4.619788758
419.9,3.0,4,9,7,124.95,252.47,0,28,8.823908741
578.65,4.51,3,8,6,122.29,348.34,1,43,6.536107011
465.45,3.5,3,7,5,94.92,280.18,0,32,8.522878745
